ticket_type,creation_date,view_date,action_date,customer_satisfaction,customer_problem_resolved,user_actioned,user_team
email,2023-06-02 23:57:00.000000000,2023-06-03 11:17:00.000000000,2023-06-03 11:50:00.000000000,4,True,8ac38c,green
web_form,2023-06-03 06:45:00.000000000,2023-06-03 11:54:00.000000000,2023-06-03 12:27:00.000000000,5,True,8ac38c,green
email,2023-06-02 17:31:00.000000000,2023-06-03 13:13:32.204869869,2023-06-03 13:35:32.204869869,5,False,8ac38c,green
email,2023-06-03 13:24:00.000000000,2023-06-03 13:36:32.204869869,2023-06-03 14:09:32.204869869,5,True,8ac38c,green
email,2023-06-02 16:44:00.000000000,2023-06-03 14:15:32.204869869,2023-06-03 14:37:32.204869869,1,False,8ac38c,green
email,2023-06-03 13:57:00.000000000,2023-06-03 14:43:32.204869869,2023-06-03 15:01:32.204869869,1,False,8ac38c,green
email,2023-06-03 13:47:00.000000000,2023-06-03 15:02:32.204869869,2023-06-03 15:28:32.204869869,4,True,8ac38c,green
web_form,2023-06-03 08:26:00.000000000,2023-06-03 15:29:32.204869869,2023-06-03 16:01:32.204869869,4,True,8ac38c,green
email,2023-06-03 15:07:00.000000000,2023-06-03 16:03:32.204869869,2023-06-03 16:47:32.204869869,4,True,8ac38c,green
web_form,2023-06-03 18:56:00.000000000,2023-06-04 08:38:00.000000000,2023-06-04 09:13:00.000000000,1,False,8ac38c,green
web_form,2023-06-03 21:31:00.000000000,2023-06-04 09:17:00.000000000,2023-06-04 09:36:00.000000000,1,False,8ac38c,green
web_form,2023-06-03 19:24:00.000000000,2023-06-04 09:37:00.000000000,2023-06-04 10:06:00.000000000,5,True,8ac38c,green
email,2023-06-03 16:43:00.000000000,2023-06-04 10:12:00.000000000,2023-06-04 10:45:00.000000000,5,True,8ac38c,green
email,2023-06-04 03:05:00.000000000,2023-06-04 10:49:00.000000000,2023-06-04 11:23:00.000000000,4,True,8ac38c,green
web_form,2023-06-04 08:20:00.000000000,2023-06-04 11:23:00.000000000,2023-06-04 11:43:00.000000000,5,True,8ac38c,green
live_chat,2023-06-04 11:48:00.000000000,2023-06-04 11:48:00.000000000,2023-06-04 11:59:00.000000000,5,False,8ac38c,green
web_form,2023-06-04 08:58:00.000000000,2023-06-04 13:09:17.091326957,2023-06-04 13:38:17.091326957,4,True,8ac38c,green
web_form,2023-06-04 12:38:00.000000000,2023-06-04 13:43:17.091326957,2023-06-04 14:04:17.091326957,1,False,8ac38c,green
email,2023-06-04 11:56:00.000000000,2023-06-04 14:07:17.091326957,2023-06-04 14:37:17.091326957,5,True,8ac38c,green
email,2023-06-04 13:53:00.000000000,2023-06-04 14:42:17.091326957,2023-06-04 15:06:17.091326957,5,True,8ac38c,green
web_form,2023-06-04 13:00:00.000000000,2023-06-04 15:07:17.091326957,2023-06-04 15:40:17.091326957,5,False,8ac38c,green
live_chat,2023-06-04 15:44:17.091326957,2023-06-04 15:44:17.091326957,2023-06-04 15:54:17.091326957,5,True,8ac38c,green
email,2023-06-04 15:13:00.000000000,2023-06-04 15:57:17.091326957,2023-06-04 16:31:17.091326957,5,True,8ac38c,green
live_chat,2023-06-04 16:35:17.091326957,2023-06-04 16:35:17.091326957,2023-06-04 16:55:17.091326957,5,True,8ac38c,green
email,2023-06-04 12:43:00.000000000,2023-06-05 08:36:00.000000000,2023-06-05 09:08:00.000000000,5,True,8ac38c,green
email,2023-06-04 16:16:00.000000000,2023-06-05 09:14:00.000000000,2023-06-05 09:51:00.000000000,3,True,8ac38c,green
web_form,2023-06-05 01:00:00.000000000,2023-06-05 09:58:00.000000000,2023-06-05 10:39:00.000000000,3,True,8ac38c,green
web_form,2023-06-05 09:18:00.000000000,2023-06-05 10:41:00.000000000,2023-06-05 11:06:00.000000000,3,False,8ac38c,green
web_form,2023-06-04 16:45:00.000000000,2023-06-05 11:07:00.000000000,2023-06-05 11:37:00.000000000,1,False,8ac38c,green
web_form,2023-06-05 08:22:00.000000000,2023-06-05 11:43:00.000000000,2023-06-05 12:10:00.000000000,5,True,8ac38c,green
web_form,2023-06-04 19:34:00.000000000,2023-06-05 12:47:04.443577705,2023-06-05 13:17:04.443577705,5,True,8ac38c,green
web_form,2023-06-04 23:50:00.000000000,2023-06-05 13:18:04.443577705,2023-06-05 13:54:04.443577705,3,True,8ac38c,green
email,2023-06-05 13:26:00.000000000,2023-06-05 13:58:04.443577705,2023-06-05 14:36:04.443577705,1,False,8ac38c,green
live_chat,2023-06-05 14:40:04.443577705,2023-06-05 14:40:04.443577705,2023-06-05 14:51:04.443577705,5,True,8ac38c,green
email,2023-06-04 15:36:00.000000000,2023-06-05 14:53:04.443577705,2023-06-05 15:16:04.443577705,4,True,8ac38c,green
web_form,2023-06-04 16:11:00.000000000,2023-06-05 15:17:04.443577705,2023-06-05 15:37:04.443577705,5,True,8ac38c,green
email,2023-06-05 14:51:00.000000000,2023-06-05 15:45:04.443577705,2023-06-05 16:10:04.443577705,5,True,8ac38c,green
web_form,2023-06-05 10:19:00.000000000,2023-06-05 16:13:04.443577705,2023-06-05 16:45:04.443577705,1,False,8ac38c,green
email,2023-06-05 17:48:00.000000000,2023-06-06 08:35:00.000000000,2023-06-06 09:02:00.000000000,5,True,8ac38c,green
web_form,2023-06-06 04:03:00.000000000,2023-06-06 09:05:00.000000000,2023-06-06 09:28:00.000000000,3,True,8ac38c,green
email,2023-06-05 16:14:00.000000000,2023-06-06 09:31:00.000000000,2023-06-06 10:07:00.000000000,5,True,8ac38c,green
email,2023-06-05 12:05:00.000000000,2023-06-06 10:08:00.000000000,2023-06-06 10:30:00.000000000,1,False,8ac38c,green
web_form,2023-06-06 08:14:00.000000000,2023-06-06 10:33:00.000000000,2023-06-06 10:57:00.000000000,5,True,8ac38c,green
web_form,2023-06-06 08:20:00.000000000,2023-06-06 11:03:00.000000000,2023-06-06 11:34:00.000000000,5,True,8ac38c,green
email,2023-06-06 03:29:00.000000000,2023-06-06 11:36:00.000000000,2023-06-06 12:02:00.000000000,3,False,8ac38c,green
email,2023-06-06 10:56:00.000000000,2023-06-06 12:47:41.226934107,2023-06-06 13:24:41.226934107,3,False,8ac38c,green
email,2023-06-06 12:36:00.000000000,2023-06-06 13:27:41.226934107,2023-06-06 13:54:41.226934107,2,False,8ac38c,green
email,2023-06-06 11:16:00.000000000,2023-06-06 13:58:41.226934107,2023-06-06 14:23:41.226934107,2,True,8ac38c,green
email,2023-06-05 20:18:00.000000000,2023-06-06 14:30:41.226934107,2023-06-06 15:01:41.226934107,3,True,8ac38c,green
web_form,2023-06-05 19:14:00.000000000,2023-06-06 15:03:41.226934107,2023-06-06 15:34:41.226934107,3,False,8ac38c,green
email,2023-06-05 18:19:00.000000000,2023-06-06 15:40:41.226934107,2023-06-06 16:12:41.226934107,5,True,8ac38c,green
web_form,2023-06-06 13:43:00.000000000,2023-06-06 16:18:41.226934107,2023-06-06 16:41:41.226934107,5,True,8ac38c,green
email,2023-06-06 03:52:00.000000000,2023-06-06 16:45:41.226934107,2023-06-06 17:12:41.226934107,3,True,8ac38c,green
web_form,2023-06-06 23:48:00.000000000,2023-06-07 08:38:00.000000000,2023-06-07 09:05:00.000000000,1,False,8ac38c,green
web_form,2023-06-06 18:54:00.000000000,2023-06-07 09:13:00.000000000,2023-06-07 09:37:00.000000000,5,True,8ac38c,green
email,2023-06-07 07:44:00.000000000,2023-06-07 09:38:00.000000000,2023-06-07 10:10:00.000000000,1,True,8ac38c,green
web_form,2023-06-07 09:08:00.000000000,2023-06-07 10:14:00.000000000,2023-06-07 10:42:00.000000000,4,True,8ac38c,green
email,2023-06-06 18:09:00.000000000,2023-06-07 10:45:00.000000000,2023-06-07 11:16:00.000000000,5,True,8ac38c,green
email,2023-06-07 10:42:00.000000000,2023-06-07 11:19:00.000000000,2023-06-07 11:42:00.000000000,5,True,8ac38c,green
email,2023-06-07 11:25:00.000000000,2023-06-07 11:45:00.000000000,2023-06-07 12:23:00.000000000,4,True,8ac38c,green
web_form,2023-06-07 13:23:00.000000000,2023-06-07 13:32:27.965357921,2023-06-07 13:59:27.965357921,5,True,8ac38c,green
email,2023-06-07 11:34:00.000000000,2023-06-07 14:02:27.965357921,2023-06-07 14:38:27.965357921,1,False,8ac38c,green
web_form,2023-06-07 11:51:00.000000000,2023-06-07 14:41:27.965357921,2023-06-07 15:04:27.965357921,5,True,8ac38c,green
web_form,2023-06-07 14:15:00.000000000,2023-06-07 15:09:27.965357921,2023-06-07 15:38:27.965357921,5,True,8ac38c,green
web_form,2023-06-07 09:21:00.000000000,2023-06-07 15:44:27.965357921,2023-06-07 15:59:27.965357921,5,True,8ac38c,green
live_chat,2023-06-07 16:04:27.965357921,2023-06-07 16:04:27.965357921,2023-06-07 16:16:27.965357921,5,True,8ac38c,green
web_form,2023-06-07 12:36:00.000000000,2023-06-07 16:18:27.965357921,2023-06-07 16:53:27.965357921,2,True,8ac38c,green
email,2023-06-07 13:52:00.000000000,2023-06-07 16:59:27.965357921,2023-06-07 17:35:27.965357921,1,True,8ac38c,green
web_form,2023-06-07 13:49:00.000000000,2023-06-08 08:32:00.000000000,2023-06-08 08:51:00.000000000,5,True,8ac38c,green
email,2023-06-07 05:15:00.000000000,2023-06-08 08:56:00.000000000,2023-06-08 09:30:00.000000000,5,False,8ac38c,green
email,2023-06-07 11:25:00.000000000,2023-06-08 09:32:00.000000000,2023-06-08 09:58:00.000000000,5,True,8ac38c,green
web_form,2023-06-08 06:07:00.000000000,2023-06-08 10:05:00.000000000,2023-06-08 10:38:00.000000000,2,False,8ac38c,green
web_form,2023-06-07 17:38:00.000000000,2023-06-08 10:41:00.000000000,2023-06-08 11:06:00.000000000,5,True,8ac38c,green
web_form,2023-06-07 18:16:00.000000000,2023-06-08 11:09:00.000000000,2023-06-08 11:36:00.000000000,1,False,8ac38c,green
web_form,2023-06-07 17:00:00.000000000,2023-06-08 11:38:00.000000000,2023-06-08 12:07:00.000000000,1,False,8ac38c,green
live_chat,2023-06-08 13:05:16.239331768,2023-06-08 13:05:16.239331768,2023-06-08 13:19:16.239331768,5,True,8ac38c,green
web_form,2023-06-07 16:28:00.000000000,2023-06-08 13:27:16.239331768,2023-06-08 14:02:16.239331768,5,True,8ac38c,green
email,2023-06-08 09:58:00.000000000,2023-06-08 14:03:16.239331768,2023-06-08 14:29:16.239331768,5,True,8ac38c,green
email,2023-06-08 08:28:00.000000000,2023-06-08 14:30:16.239331768,2023-06-08 14:58:16.239331768,5,True,8ac38c,green
web_form,2023-06-08 13:40:00.000000000,2023-06-08 15:04:16.239331768,2023-06-08 15:29:16.239331768,5,False,8ac38c,green
live_chat,2023-06-08 15:33:16.239331768,2023-06-08 15:33:16.239331768,2023-06-08 15:59:16.239331768,5,True,8ac38c,green
web_form,2023-06-08 07:34:00.000000000,2023-06-08 16:03:16.239331768,2023-06-08 16:25:16.239331768,4,True,8ac38c,green
email,2023-06-08 11:12:00.000000000,2023-06-08 16:29:16.239331768,2023-06-08 17:00:16.239331768,5,True,8ac38c,green
email,2023-06-09 06:25:00.000000000,2023-06-09 08:35:00.000000000,2023-06-09 09:04:00.000000000,3,False,8ac38c,green
web_form,2023-06-09 07:35:00.000000000,2023-06-09 09:07:00.000000000,2023-06-09 09:39:00.000000000,4,True,8ac38c,green
email,2023-06-09 04:35:00.000000000,2023-06-09 09:42:00.000000000,2023-06-09 10:16:00.000000000,2,False,8ac38c,green
email,2023-06-08 21:07:00.000000000,2023-06-09 10:16:00.000000000,2023-06-09 10:41:00.000000000,4,True,8ac38c,green
email,2023-06-09 10:23:00.000000000,2023-06-09 10:45:00.000000000,2023-06-09 11:22:00.000000000,2,False,8ac38c,green
web_form,2023-06-09 00:37:00.000000000,2023-06-09 11:28:00.000000000,2023-06-09 11:57:00.000000000,5,True,8ac38c,green
web_form,2023-06-08 18:54:00.000000000,2023-06-09 12:52:48.639043185,2023-06-09 13:17:48.639043185,5,True,8ac38c,green
email,2023-06-09 11:31:00.000000000,2023-06-09 13:23:48.639043185,2023-06-09 13:47:48.639043185,1,False,8ac38c,green
web_form,2023-06-09 12:01:00.000000000,2023-06-09 13:52:48.639043185,2023-06-09 14:18:48.639043185,5,True,8ac38c,green
web_form,2023-06-09 13:24:00.000000000,2023-06-09 14:22:48.639043185,2023-06-09 14:48:48.639043185,4,True,8ac38c,green
email,2023-06-09 12:13:00.000000000,2023-06-09 14:52:48.639043185,2023-06-09 15:20:48.639043185,3,True,8ac38c,green
web_form,2023-06-09 08:44:00.000000000,2023-06-09 15:25:48.639043185,2023-06-09 16:00:48.639043185,1,False,8ac38c,green
email,2023-06-09 11:04:00.000000000,2023-06-09 16:02:48.639043185,2023-06-09 16:24:48.639043185,5,True,8ac38c,green
web_form,2023-06-09 16:03:00.000000000,2023-06-09 16:25:48.639043185,2023-06-09 16:51:48.639043185,5,True,8ac38c,green
web_form,2023-06-09 17:45:00.000000000,2023-06-10 08:34:00.000000000,2023-06-10 08:59:00.000000000,5,True,8ac38c,green
email,2023-06-09 05:21:00.000000000,2023-06-10 09:06:00.000000000,2023-06-10 09:41:00.000000000,2,False,8ac38c,green
web_form,2023-06-09 11:44:00.000000000,2023-06-10 09:42:00.000000000,2023-06-10 10:18:00.000000000,4,True,8ac38c,green
email,2023-06-09 16:57:00.000000000,2023-06-10 10:24:00.000000000,2023-06-10 10:54:00.000000000,3,False,8ac38c,green
web_form,2023-06-09 09:43:00.000000000,2023-06-10 10:55:00.000000000,2023-06-10 11:16:00.000000000,5,True,8ac38c,green
email,2023-06-09 12:08:00.000000000,2023-06-10 11:20:00.000000000,2023-06-10 11:45:00.000000000,1,False,8ac38c,green
web_form,2023-06-09 12:24:00.000000000,2023-06-10 11:50:00.000000000,2023-06-10 12:21:00.000000000,5,True,8ac38c,green
web_form,2023-06-10 08:12:00.000000000,2023-06-10 13:17:26.689029977,2023-06-10 13:58:26.689029977,5,True,8ac38c,green
web_form,2023-06-09 16:42:00.000000000,2023-06-10 14:02:26.689029977,2023-06-10 14:30:26.689029977,1,False,8ac38c,green
live_chat,2023-06-10 14:32:26.689029977,2023-06-10 14:32:26.689029977,2023-06-10 14:44:26.689029977,5,True,8ac38c,green
live_chat,2023-06-10 14:48:26.689029977,2023-06-10 14:48:26.689029977,2023-06-10 15:07:26.689029977,5,True,8ac38c,green
email,2023-06-09 20:48:00.000000000,2023-06-10 15:10:26.689029977,2023-06-10 15:37:26.689029977,4,True,8ac38c,green
web_form,2023-06-09 17:22:00.000000000,2023-06-10 15:42:26.689029977,2023-06-10 16:06:26.689029977,1,False,8ac38c,green
email,2023-06-10 01:36:00.000000000,2023-06-10 16:08:26.689029977,2023-06-10 16:33:26.689029977,3,True,8ac38c,green
email,2023-06-10 12:11:00.000000000,2023-06-10 16:43:26.689029977,2023-06-10 17:09:26.689029977,5,True,8ac38c,green
email,2023-06-10 08:43:00.000000000,2023-06-11 08:33:00.000000000,2023-06-11 08:57:00.000000000,1,False,8ac38c,green
email,2023-06-10 17:22:00.000000000,2023-06-11 09:02:00.000000000,2023-06-11 09:35:00.000000000,2,False,8ac38c,green
web_form,2023-06-10 14:16:00.000000000,2023-06-11 09:39:00.000000000,2023-06-11 10:08:00.000000000,5,True,8ac38c,green
email,2023-06-09 11:21:00.000000000,2023-06-11 10:13:00.000000000,2023-06-11 10:52:00.000000000,4,True,8ac38c,green
web_form,2023-06-11 09:56:00.000000000,2023-06-11 10:54:00.000000000,2023-06-11 11:26:00.000000000,1,False,8ac38c,green
email,2023-06-08 12:05:00.000000000,2023-06-11 11:28:00.000000000,2023-06-11 11:58:00.000000000,1,False,8ac38c,green
web_form,2023-06-11 11:14:00.000000000,2023-06-11 12:45:00.658850525,2023-06-11 13:08:00.658850525,1,False,8ac38c,green
email,2023-06-09 22:02:00.000000000,2023-06-11 13:12:00.658850525,2023-06-11 13:34:00.658850525,2,False,8ac38c,green
email,2023-06-11 09:34:00.000000000,2023-06-11 13:36:00.658850525,2023-06-11 14:11:00.658850525,2,True,8ac38c,green
email,2023-06-11 13:13:00.000000000,2023-06-11 14:17:00.658850525,2023-06-11 14:48:00.658850525,5,True,8ac38c,green
web_form,2023-06-11 08:35:00.000000000,2023-06-11 14:52:00.658850525,2023-06-11 15:27:00.658850525,4,True,8ac38c,green
web_form,2023-06-11 12:00:00.000000000,2023-06-11 15:29:00.658850525,2023-06-11 15:59:00.658850525,5,True,8ac38c,green
web_form,2023-06-11 13:02:00.000000000,2023-06-11 16:03:00.658850525,2023-06-11 16:29:00.658850525,5,True,8ac38c,green
web_form,2023-06-11 15:37:00.000000000,2023-06-11 16:32:00.658850525,2023-06-11 16:57:00.658850525,2,True,8ac38c,green
email,2023-06-12 08:21:00.000000000,2023-06-12 08:35:00.000000000,2023-06-12 08:58:00.000000000,5,True,8ac38c,green
email,2023-06-12 06:15:00.000000000,2023-06-12 09:01:00.000000000,2023-06-12 09:32:00.000000000,4,False,8ac38c,green
web_form,2023-06-12 09:10:00.000000000,2023-06-12 09:33:00.000000000,2023-06-12 10:05:00.000000000,2,True,8ac38c,green
email,2023-06-12 05:30:00.000000000,2023-06-12 10:08:00.000000000,2023-06-12 10:26:00.000000000,2,True,8ac38c,green
email,2023-06-12 08:59:00.000000000,2023-06-12 10:30:00.000000000,2023-06-12 11:05:00.000000000,5,True,8ac38c,green
email,2023-06-12 08:53:00.000000000,2023-06-12 11:06:00.000000000,2023-06-12 11:42:00.000000000,3,True,8ac38c,green
email,2023-06-12 11:31:00.000000000,2023-06-12 11:45:00.000000000,2023-06-12 12:23:00.000000000,1,False,8ac38c,green
web_form,2023-06-12 08:37:00.000000000,2023-06-12 13:24:26.965469081,2023-06-12 13:50:26.965469081,5,True,8ac38c,green
web_form,2023-06-12 12:37:00.000000000,2023-06-12 13:51:26.965469081,2023-06-12 14:28:26.965469081,4,True,8ac38c,green
web_form,2023-06-12 10:37:00.000000000,2023-06-12 14:34:26.965469081,2023-06-12 15:13:26.965469081,5,True,8ac38c,green
live_chat,2023-06-12 15:16:26.965469081,2023-06-12 15:16:26.965469081,2023-06-12 15:34:26.965469081,1,False,8ac38c,green
email,2023-06-12 14:38:00.000000000,2023-06-12 15:42:26.965469081,2023-06-12 16:13:26.965469081,5,True,8ac38c,green
web_form,2023-06-12 10:18:00.000000000,2023-06-12 16:14:26.965469081,2023-06-12 16:42:26.965469081,1,False,8ac38c,green
email,2023-06-12 13:55:00.000000000,2023-06-12 16:45:26.965469081,2023-06-12 17:10:26.965469081,3,True,8ac38c,green
email,2023-06-13 08:01:00.000000000,2023-06-13 08:36:00.000000000,2023-06-13 09:01:00.000000000,4,False,8ac38c,green
web_form,2023-06-12 15:30:00.000000000,2023-06-13 09:05:00.000000000,2023-06-13 09:29:00.000000000,5,True,8ac38c,green
email,2023-06-12 15:09:00.000000000,2023-06-13 09:34:00.000000000,2023-06-13 10:16:00.000000000,2,False,8ac38c,green
web_form,2023-06-12 19:03:00.000000000,2023-06-13 10:22:00.000000000,2023-06-13 10:47:00.000000000,2,True,8ac38c,green
email,2023-06-13 08:29:00.000000000,2023-06-13 10:47:00.000000000,2023-06-13 11:15:00.000000000,1,False,8ac38c,green
live_chat,2023-06-13 11:15:00.000000000,2023-06-13 11:15:00.000000000,2023-06-13 11:33:00.000000000,5,True,8ac38c,green
web_form,2023-06-12 14:07:00.000000000,2023-06-13 11:36:00.000000000,2023-06-13 12:00:00.000000000,2,False,8ac38c,green
live_chat,2023-06-13 12:59:45.861851816,2023-06-13 12:59:45.861851816,2023-06-13 13:10:45.861851816,5,True,8ac38c,green
web_form,2023-06-13 04:31:00.000000000,2023-06-13 13:16:45.861851816,2023-06-13 13:44:45.861851816,5,True,8ac38c,green
live_chat,2023-06-13 13:49:45.861851816,2023-06-13 13:49:45.861851816,2023-06-13 14:05:45.861851816,5,True,8ac38c,green
web_form,2023-06-13 13:05:00.000000000,2023-06-13 14:09:45.861851816,2023-06-13 14:43:45.861851816,1,False,8ac38c,green
email,2023-06-12 11:49:00.000000000,2023-06-13 14:43:45.861851816,2023-06-13 15:23:45.861851816,5,True,8ac38c,green
live_chat,2023-06-13 15:26:45.861851816,2023-06-13 15:26:45.861851816,2023-06-13 15:45:45.861851816,4,True,8ac38c,green
web_form,2023-06-13 12:57:00.000000000,2023-06-13 15:50:45.861851816,2023-06-13 16:18:45.861851816,1,False,8ac38c,green
web_form,2023-06-13 14:36:00.000000000,2023-06-13 16:25:45.861851816,2023-06-13 16:45:45.861851816,4,True,8ac38c,green
web_form,2023-06-14 07:15:00.000000000,2023-06-14 08:35:00.000000000,2023-06-14 08:56:00.000000000,2,False,8ac38c,green
web_form,2023-06-14 06:36:00.000000000,2023-06-14 09:00:00.000000000,2023-06-14 09:31:00.000000000,3,False,8ac38c,green
web_form,2023-06-14 08:42:00.000000000,2023-06-14 09:34:00.000000000,2023-06-14 10:15:00.000000000,5,True,8ac38c,green
email,2023-06-14 10:11:00.000000000,2023-06-14 10:21:00.000000000,2023-06-14 10:45:00.000000000,2,True,8ac38c,green
web_form,2023-06-14 10:18:00.000000000,2023-06-14 10:49:00.000000000,2023-06-14 11:13:00.000000000,3,True,8ac38c,green
email,2023-06-13 14:40:00.000000000,2023-06-14 11:15:00.000000000,2023-06-14 11:38:00.000000000,1,True,8ac38c,green
email,2023-06-14 11:20:00.000000000,2023-06-14 11:45:00.000000000,2023-06-14 12:07:00.000000000,1,False,8ac38c,green
email,2023-06-12 19:14:00.000000000,2023-06-14 13:07:48.129624705,2023-06-14 13:35:48.129624705,1,False,8ac38c,green
web_form,2023-06-13 20:31:00.000000000,2023-06-14 13:37:48.129624705,2023-06-14 14:09:48.129624705,5,True,8ac38c,green
web_form,2023-06-14 12:05:00.000000000,2023-06-14 14:11:48.129624705,2023-06-14 14:39:48.129624705,2,False,8ac38c,green
web_form,2023-06-14 13:30:00.000000000,2023-06-14 14:43:48.129624705,2023-06-14 15:19:48.129624705,5,True,8ac38c,green
email,2023-06-14 13:27:00.000000000,2023-06-14 15:21:48.129624705,2023-06-14 15:46:48.129624705,5,True,8ac38c,green
email,2023-06-14 06:38:00.000000000,2023-06-14 15:46:48.129624705,2023-06-14 16:19:48.129624705,5,True,8ac38c,green
web_form,2023-06-14 11:20:00.000000000,2023-06-14 16:21:48.129624705,2023-06-14 16:54:48.129624705,5,True,8ac38c,green
live_chat,2023-06-15 08:36:00.000000000,2023-06-15 08:36:00.000000000,2023-06-15 08:49:00.000000000,5,False,8ac38c,green
email,2023-06-14 20:11:00.000000000,2023-06-15 08:50:00.000000000,2023-06-15 09:18:00.000000000,5,True,8ac38c,green
web_form,2023-06-13 10:38:00.000000000,2023-06-15 09:26:00.000000000,2023-06-15 09:51:00.000000000,5,True,8ac38c,green
email,2023-06-15 06:36:00.000000000,2023-06-15 09:59:00.000000000,2023-06-15 10:32:00.000000000,2,False,8ac38c,green
email,2023-06-14 22:06:00.000000000,2023-06-15 10:34:00.000000000,2023-06-15 11:08:00.000000000,5,True,8ac38c,green
web_form,2023-06-15 07:52:00.000000000,2023-06-15 11:11:00.000000000,2023-06-15 11:50:00.000000000,1,False,8ac38c,green
email,2023-06-15 08:57:00.000000000,2023-06-15 11:52:00.000000000,2023-06-15 12:21:00.000000000,5,True,8ac38c,green
web_form,2023-06-15 08:15:00.000000000,2023-06-15 13:19:50.022199195,2023-06-15 13:38:50.022199195,5,True,8ac38c,green
email,2023-06-14 18:32:00.000000000,2023-06-15 13:45:50.022199195,2023-06-15 14:08:50.022199195,5,True,8ac38c,green
web_form,2023-06-14 10:26:00.000000000,2023-06-15 14:12:50.022199195,2023-06-15 14:40:50.022199195,1,True,8ac38c,green
web_form,2023-06-15 12:58:00.000000000,2023-06-15 14:45:50.022199195,2023-06-15 15:15:50.022199195,5,True,8ac38c,green
web_form,2023-06-15 14:07:00.000000000,2023-06-15 15:17:50.022199195,2023-06-15 15:50:50.022199195,5,True,8ac38c,green
web_form,2023-06-14 10:50:00.000000000,2023-06-15 15:51:50.022199195,2023-06-15 16:19:50.022199195,1,False,8ac38c,green
web_form,2023-06-15 11:28:00.000000000,2023-06-15 16:27:50.022199195,2023-06-15 16:56:50.022199195,5,True,8ac38c,green
web_form,2023-06-14 13:14:00.000000000,2023-06-16 08:34:00.000000000,2023-06-16 08:55:00.000000000,5,True,8ac38c,green
web_form,2023-06-14 15:48:00.000000000,2023-06-16 09:00:00.000000000,2023-06-16 09:19:00.000000000,3,True,8ac38c,green
email,2023-06-15 14:08:00.000000000,2023-06-16 09:23:00.000000000,2023-06-16 09:47:00.000000000,2,True,8ac38c,green
email,2023-06-14 05:35:00.000000000,2023-06-16 09:51:00.000000000,2023-06-16 10:28:00.000000000,5,True,8ac38c,green
web_form,2023-06-15 18:39:00.000000000,2023-06-16 10:33:00.000000000,2023-06-16 11:02:00.000000000,5,True,8ac38c,green
web_form,2023-06-15 16:07:00.000000000,2023-06-16 11:09:00.000000000,2023-06-16 11:36:00.000000000,5,True,8ac38c,green
web_form,2023-06-15 20:46:00.000000000,2023-06-16 11:41:00.000000000,2023-06-16 12:16:00.000000000,3,True,8ac38c,green
